transaction_id,transaction_date,transaction_type,amount,location,customer_age,account_age_days,previous_transaction_count,is_fraud
TXN08379,2026-01-01 09:28:00,Payment,114.88,Jaipur,50,364,70,1
TXN08680,2026-01-01 09:31:00,Transfer,834.0,Mumbai,20,793,31,0
TXN02181,2026-01-01 09:32:00,Payment,1072.23,Bengaluru,28,985,33,0
TXN04418,2026-01-01 09:35:00,Transfer,115.26,Delhi,33,187,32,0
TXN06489,2026-01-01 09:35:00,Transfer,95.06,Pune,59,378,34,0
TXN05107,2026-01-01 09:36:00,Payment,34.05,Pune,48,2020,38,0
TXN05894,2026-01-01 09:39:00,Withdrawal,162.45,Bengaluru,29,595,43,0
TXN03606,2026-01-01 09:49:00,Payment,108.15,Delhi,69,1016,35,0
TXN06168,2026-01-01 09:49:00,Withdrawal,475.6,Mumbai,31,863,27,0
TXN08270,2026-01-01 09:52:00,Withdrawal,215.61,Chennai,22,219,16,0
TXN02868,2026-01-01 09:53:00,Transfer,29.98,Mumbai,25,1036,53,0
TXN06807,2026-01-01 09:53:00,Payment,360.48,Bengaluru,56,404,44,0
TXN08398,2026-01-01 09:59:00,Payment,393.55,Pune,51,654,32,0
TXN08968,2026-01-01 09:59:00,Transfer,269.08,Mumbai,41,507,33,0
TXN06646,2026-01-01 10:02:00,Withdrawal,178.94,Bengaluru,33,742,37,0
TXN08086,2026-01-01 10:09:00,Transfer,180.81,Pune,53,870,3,0
TXN02117,2026-01-01 10:09:00,Transfer,54.11,Jaipur,60,950,49,0
TXN05234,2026-01-01 10:10:00,Withdrawal,1970.43,Delhi,38,991,125,0
TXN01902,2026-01-01 10:14:00,Payment,72.56,Chennai,41,1140,95,0
TXN08848,2026-01-01 10:15:00,Transfer,390.02,Mumbai,48,597,34,0
TXN01746,2026-01-01 10:22:00,Transfer,184.25,Bengaluru,49,382,27,0
TXN09384,2026-01-01 10:24:00,Withdrawal,91.97,Hyderabad,38,136,57,0
TXN08726,2026-01-01 10:24:00,Transfer,439.58,Chennai,56,164,142,1
TXN06691,2026-01-01 10:25:00,Withdrawal,1036.21,Bengaluru,28,1064,179,0
TXN02863,2026-01-01 10:25:00,Payment,111.52,Hyderabad,18,554,26,0
TXN01045,2026-01-01 10:29:00,Transfer,385.4,Pune,51,1327,20,0
TXN04554,2026-01-01 10:34:00,Transfer,793.78,Chennai,37,781,19,0
TXN09300,2026-01-01 10:39:00,Transfer,187.39,Delhi,54,2137,45,0
TXN04603,2026-01-01 10:41:00,Payment,407.35,Chennai,42,471,27,0
TXN04803,2026-01-01 10:43:00,Payment,363.36,Pune,34,1973,46,0
TXN08991,2026-01-01 10:44:00,Payment,546.5,Mumbai,31,1050,41,0
TXN02044,2026-01-01 10:45:00,Payment,282.46,Delhi,61,384,52,0
TXN01057,2026-01-01 10:46:00,Payment,11.83,Chennai,33,1479,14,1
TXN02152,2026-01-01 10:48:00,Payment,124.8,Bengaluru,23,1076,48,0
TXN00818,2026-01-01 10:49:00,Transfer,387.91,Chennai,21,108,55,0
TXN08027,2026-01-01 10:50:00,Payment,277.74,Pune,40,3055,82,0
TXN07696,2026-01-01 10:50:00,Transfer,185.87,Bengaluru,34,1464,31,0
TXN08367,2026-01-01 10:54:00,Payment,368.58,Mumbai,53,1152,104,0
TXN04837,2026-01-01 10:59:00,Payment,155.13,Bengaluru,46,1421,65,0
TXN03101,2026-01-01 11:06:00,Transfer,12.51,Chennai,42,1410,143,0
TXN03438,2026-01-01 11:06:00,Payment,256.33,Mumbai,28,559,17,0
TXN02483,2026-01-01 11:07:00,Transfer,983.56,Delhi,25,1275,26,0
TXN03221,2026-01-01 11:09:00,Payment,234.2,Delhi,42,1702,26,0
TXN08210,2026-01-01 11:10:00,Transfer,273.96,Jaipur,52,1411,133,0
TXN01157,2026-01-01 11:12:00,Payment,825.08,Bengaluru,69,1526,49,0
TXN05700,2026-01-01 11:15:00,Payment,125.89,Hyderabad,28,2601,91,0
TXN07423,2026-01-01 11:16:00,Payment,96.46,Mumbai,23,1325,16,0
TXN04075,2026-01-01 11:19:00,Transfer,147.46,Bengaluru,65,953,23,0
TXN05053,2026-01-01 11:21:00,Withdrawal,430.82,Delhi,65,2738,77,0
TXN04926,2026-01-01 11:27:00,Transfer,615.01,Ahmedabad,49,613,11,0
TXN07864,2026-01-01 11:30:00,Payment,67.78,Pune,69,1303,117,0
TXN00555,2026-01-01 11:30:00,Payment,1012.86,Jaipur,49,242,38,0
TXN07237,2026-01-01 11:30:00,Payment,1463.35,Mumbai,25,696,11,0
TXN06599,2026-01-01 11:31:00,Payment,213.25,Ahmedabad,21,1041,40,0
TXN04125,2026-01-01 11:31:00,Payment,217.03,Mumbai,21,95,67,0
TXN06682,2026-01-01 11:33:00,Transfer,93.38,Mumbai,25,1188,127,0
TXN09423,2026-01-01 11:37:00,Withdrawal,487.33,Ahmedabad,20,1845,25,0
TXN01460,2026-01-01 11:49:00,Transfer,336.14,Hyderabad,45,2072,64,0
TXN04484,2026-01-01 11:51:00,Transfer,244.8,Delhi,68,330,11,0
TXN09539,2026-01-01 11:52:00,Payment,244.72,Delhi,22,984,69,0
TXN07093,2026-01-01 11:59:00,Payment,98.19,Pune,18,239,48,0
TXN03493,2026-01-01 12:00:00,Withdrawal,351.11,Kolkata,24,730,72,0
TXN06690,2026-01-01 12:01:00,Payment,2121.36,Pune,55,1691,160,0
TXN00003,2026-01-01 12:03:00,Payment,497.21,Bengaluru,19,1989,26,0
TXN09294,2026-01-01 12:09:00,Withdrawal,43.59,Kolkata,51,302,54,0
TXN09346,2026-01-01 12:11:00,Payment,35.7,Jaipur,38,152,56,0
TXN00696,2026-01-01 12:12:00,Transfer,378.45,Delhi,28,2228,22,0
TXN04403,2026-01-01 12:17:00,Payment,660.34,Delhi,62,2415,15,0
TXN01156,2026-01-01 12:19:00,Payment,73.28,Delhi,21,804,14,0
TXN09907,2026-01-01 12:21:00,Payment,154.81,Chennai,23,679,89,0
TXN07088,2026-01-01 12:26:00,Payment,140.14,Bengaluru,48,677,48,0
TXN09755,2026-01-01 12:32:00,Payment,569.91,Delhi,28,3824,77,0
TXN04072,2026-01-01 12:40:00,Payment,280.22,Ahmedabad,36,239,12,0
TXN07608,2026-01-01 12:47:00,Payment,472.35,Chennai,49,408,20,0
TXN09415,2026-01-01 12:51:00,Withdrawal,266.44,Bengaluru,69,751,21,0
TXN08918,2026-01-01 12:56:00,Transfer,404.27,Bengaluru,40,743,34,0
TXN08250,2026-01-01 12:58:00,Payment,348.82,Bengaluru,21,1267,22,0
TXN03896,2026-01-01 12:59:00,Payment,201.48,Jaipur,25,1610,42,0
TXN08562,2026-01-01 13:04:00,Withdrawal,19.7,Mumbai,18,1727,119,0
TXN01284,2026-01-01 13:07:00,Payment,792.45,Pune,38,354,18,1
TXN00502,2026-01-01 13:08:00,Transfer,90.69,Ahmedabad,69,1078,31,0
TXN09303,2026-01-01 13:08:00,Payment,50.82,Delhi,45,395,5,0
TXN00356,2026-01-01 13:08:00,Payment,99.69,Bengaluru,26,654,49,0
TXN07537,2026-01-01 13:09:00,Withdrawal,1627.41,Kolkata,53,1169,21,0
TXN03956,2026-01-01 13:14:00,Transfer,55.53,Pune,63,793,82,1
TXN03268,2026-01-01 13:21:00,Payment,128.54,Delhi,29,1365,36,0
TXN06773,2026-01-01 13:22:00,Payment,528.32,Kolkata,30,1749,15,0
TXN03669,2026-01-01 13:22:00,Transfer,452.79,Chennai,20,1678,19,0
TXN01915,2026-01-01 13:26:00,Payment,347.02,Chennai,58,661,24,1
TXN04024,2026-01-01 13:27:00,Withdrawal,182.33,Pune,57,115,31,0
TXN03386,2026-01-01 13:37:00,Payment,124.27,Bengaluru,27,444,55,0
TXN04367,2026-01-01 13:38:00,Payment,525.97,Jaipur,64,504,79,0
TXN07510,2026-01-01 13:44:00,Payment,646.11,Chennai,61,1253,16,0
TXN08089,2026-01-01 13:45:00,Payment,281.94,Bengaluru,33,538,152,0
TXN02858,2026-01-01 13:50:00,Transfer,1144.64,Delhi,62,951,37,0
TXN06084,2026-01-01 13:54:00,Payment,112.22,Ahmedabad,69,2163,101,0
TXN07480,2026-01-01 13:56:00,Withdrawal,1044.53,Pune,59,1545,59,0
TXN03538,2026-01-01 13:58:00,Payment,352.74,Pune,27,312,72,0
TXN01319,2026-01-01 13:59:00,Transfer,216.75,Hyderabad,26,1047,50,0
TXN05022,2026-01-01 14:05:00,Payment,112.78,Ahmedabad,23,392,6,0
TXN08116,2026-01-01 14:06:00,Payment,12.77,Pune,43,405,37,0
TXN08626,2026-01-01 14:06:00,Transfer,200.96,Kolkata,48,785,79,0
TXN07176,2026-01-01 14:09:00,Payment,156.86,Mumbai,44,177,93,0
TXN03095,2026-01-01 14:14:00,Payment,36.34,Bengaluru,64,622,24,0
TXN07737,2026-01-01 14:15:00,Withdrawal,24.21,Jaipur,22,223,29,0
TXN02367,2026-01-01 14:15:00,Withdrawal,83.38,Pune,25,323,20,0
TXN08901,2026-01-01 14:17:00,Transfer,313.16,Bengaluru,57,1153,61,0
TXN03453,2026-01-01 14:21:00,Withdrawal,103.79,Hyderabad,42,401,44,0
TXN02782,2026-01-01 14:23:00,Transfer,170.05,Pune,24,482,64,0
TXN08672,2026-01-01 14:23:00,Payment,48.72,Delhi,27,1097,20,0
TXN07905,2026-01-01 14:25:00,Payment,821.05,Delhi,30,1439,22,0
TXN05300,2026-01-01 14:27:00,Transfer,262.32,Bengaluru,55,954,54,0
TXN02507,2026-01-01 14:33:00,Transfer,265.91,Delhi,43,1454,4,0
TXN07013,2026-01-01 14:36:00,Transfer,1545.44,Pune,24,1955,53,0
TXN03323,2026-01-01 14:46:00,Transfer,370.32,Kolkata,49,363,122,0
TXN06583,2026-01-01 14:50:00,Transfer,188.56,Bengaluru,68,1533,34,0
TXN07687,2026-01-01 14:56:00,Transfer,112.83,Pune,24,109,97,0
TXN04967,2026-01-01 15:01:00,Payment,303.2,Bengaluru,60,1777,108,0
TXN02276,2026-01-01 15:01:00,Payment,48.44,Chennai,53,1496,27,0
TXN00869,2026-01-01 15:03:00,Transfer,551.95,Chennai,41,455,125,1
TXN08635,2026-01-01 15:05:00,Payment,686.38,Ahmedabad,67,395,30,0
TXN01008,2026-01-01 15:11:00,Payment,142.97,Ahmedabad,33,974,253,0
TXN07319,2026-01-01 15:14:00,Payment,166.81,Kolkata,44,654,23,0
TXN06805,2026-01-01 15:14:00,Transfer,75.52,Mumbai,21,923,17,0
TXN07108,2026-01-01 15:19:00,Payment,1139.7,Kolkata,22,1241,83,0
TXN07253,2026-01-01 15:20:00,Payment,109.48,Delhi,31,735,33,0
TXN07504,2026-01-01 15:20:00,Payment,191.0,Delhi,63,294,34,0
TXN02306,2026-01-01 15:26:00,Payment,523.05,Chennai,54,1872,14,0
TXN09816,2026-01-01 15:28:00,Payment,190.41,Pune,34,141,31,0
TXN00896,2026-01-01 15:32:00,Payment,486.6,Delhi,29,149,76,0
TXN09699,2026-01-01 15:34:00,Withdrawal,93.26,Hyderabad,27,527,19,0
TXN09547,2026-01-01 15:34:00,Transfer,419.77,Ahmedabad,54,453,56,0
TXN04586,2026-01-01 15:41:00,Payment,19.95,Delhi,51,1748,81,0
TXN04681,2026-01-01 15:41:00,Payment,318.69,Hyderabad,25,1440,52,0
TXN04769,2026-01-01 15:43:00,Payment,586.36,Kolkata,52,2156,70,0
TXN03381,2026-01-01 15:46:00,Transfer,323.76,Bengaluru,24,1025,88,0
TXN06921,2026-01-01 15:47:00,Withdrawal,482.24,Mumbai,18,712,52,0
TXN03790,2026-01-01 15:51:00,Payment,76.89,Mumbai,58,995,29,0
TXN01955,2026-01-01 15:56:00,Transfer,111.28,Hyderabad,56,1696,55,0
TXN02295,2026-01-01 15:59:00,Payment,83.4,Bengaluru,37,889,13,0
TXN01077,2026-01-01 16:02:00,Transfer,195.73,Ahmedabad,20,711,101,0
TXN05008,2026-01-01 16:03:00,Payment,241.89,Bengaluru,30,2420,22,0
TXN00982,2026-01-01 16:13:00,Transfer,114.22,Chennai,49,1093,66,0
TXN06938,2026-01-01 16:16:00,Withdrawal,158.61,Pune,28,513,16,0
TXN01201,2026-01-01 16:17:00,Payment,624.45,Pune,59,306,4,0
TXN07135,2026-01-01 16:19:00,Transfer,46.11,Bengaluru,36,390,24,0
TXN03748,2026-01-01 16:19:00,Withdrawal,2157.17,Jaipur,59,710,25,0
TXN04016,2026-01-01 16:22:00,Withdrawal,195.37,Chennai,58,654,76,0
TXN03324,2026-01-01 16:24:00,Transfer,465.63,Jaipur,63,340,45,0
TXN01446,2026-01-01 16:25:00,Payment,416.76,Chennai,66,954,46,0
TXN07360,2026-01-01 16:27:00,Payment,112.97,Hyderabad,37,2656,11,0
TXN01603,2026-01-01 16:30:00,Transfer,217.99,Mumbai,22,1534,11,0
TXN03976,2026-01-01 16:33:00,Payment,100.49,Bengaluru,26,998,55,0
TXN04514,2026-01-01 16:34:00,Payment,767.39,Kolkata,24,1326,73,0
TXN02963,2026-01-01 16:38:00,Payment,179.14,Ahmedabad,44,820,44,0
TXN05580,2026-01-01 16:38:00,Transfer,40.24,Jaipur,34,630,116,0
TXN09213,2026-01-01 16:39:00,Payment,121.95,Mumbai,58,1020,101,0
TXN02952,2026-01-01 16:41:00,Payment,206.06,Pune,42,1423,33,0
TXN04685,2026-01-01 16:43:00,Withdrawal,827.03,Delhi,55,227,56,0
TXN03309,2026-01-01 16:45:00,Payment,98.11,Pune,45,898,29,0
TXN05825,2026-01-01 16:54:00,Transfer,299.57,Jaipur,51,525,27,0
TXN06325,2026-01-01 16:54:00,Transfer,73.26,Bengaluru,51,1264,9,0
TXN03818,2026-01-01 16:56:00,Withdrawal,480.96,Bengaluru,41,622,9,0
TXN07089,2026-01-01 17:00:00,Payment,1050.19,Chennai,19,1292,34,0
TXN04870,2026-01-01 17:01:00,Payment,1860.23,Hyderabad,55,958,76,0
TXN05130,2026-01-01 17:03:00,Payment,261.7,Mumbai,33,943,28,0
TXN02311,2026-01-01 17:08:00,Withdrawal,36.87,Mumbai,54,546,37,0
TXN04073,2026-01-01 17:12:00,Payment,142.04,Kolkata,64,314,68,0
TXN07149,2026-01-01 17:12:00,Payment,162.23,Bengaluru,47,612,13,0
TXN07072,2026-01-01 17:14:00,Payment,850.47,Bengaluru,22,1753,34,0
TXN08470,2026-01-01 17:15:00,Payment,218.11,Jaipur,36,1964,87,0
TXN02335,2026-01-01 17:18:00,Payment,84.11,Delhi,63,895,47,0
TXN07882,2026-01-01 17:20:00,Withdrawal,275.23,Mumbai,20,861,35,0
TXN04384,2026-01-01 17:21:00,Payment,168.18,Pune,67,713,14,0
TXN02694,2026-01-01 17:24:00,Payment,261.97,Pune,41,1026,20,0
TXN08641,2026-01-01 17:24:00,Payment,217.98,Chennai,45,1212,20,0
TXN03965,2026-01-01 17:26:00,Payment,151.36,Jaipur,24,657,61,0
TXN08714,2026-01-01 17:26:00,Transfer,239.04,Jaipur,22,1188,17,0
TXN03423,2026-01-01 17:29:00,Payment,88.45,Chennai,24,943,80,0
TXN02094,2026-01-01 17:35:00,Withdrawal,69.25,Hyderabad,47,1038,56,0
TXN06465,2026-01-01 17:36:00,Payment,142.1,Bengaluru,23,990,31,0
TXN08002,2026-01-01 17:38:00,Payment,151.53,Jaipur,62,1491,26,0
TXN01549,2026-01-01 17:39:00,Payment,353.48,Bengaluru,28,768,12,0
TXN05627,2026-01-01 17:43:00,Payment,604.88,Chennai,54,1291,35,0
TXN07631,2026-01-01 17:49:00,Transfer,53.45,Mumbai,61,1541,17,0
TXN04153,2026-01-01 17:49:00,Payment,268.92,Delhi,64,593,38,0
TXN00107,2026-01-01 17:53:00,Transfer,4898.08,Chennai,56,202,83,0
TXN07370,2026-01-01 17:54:00,Payment,164.77,Delhi,65,836,34,0
TXN07534,2026-01-01 18:00:00,Transfer,85.78,Pune,40,1022,47,0
TXN00105,2026-01-01 18:02:00,Transfer,97.71,Mumbai,36,603,61,0
TXN03301,2026-01-01 18:05:00,Withdrawal,123.74,Mumbai,34,409,32,0
TXN05835,2026-01-01 18:05:00,Payment,17.23,Mumbai,28,1235,65,0
TXN04469,2026-01-01 18:06:00,Withdrawal,196.94,Hyderabad,68,832,32,0
TXN04759,2026-01-01 18:08:00,Payment,45.63,Chennai,39,1423,42,0
TXN06304,2026-01-01 18:10:00,Transfer,186.83,Bengaluru,30,990,23,0
TXN09608,2026-01-01 18:13:00,Payment,552.24,Delhi,48,435,33,0
TXN03828,2026-01-01 18:13:00,Withdrawal,824.58,Bengaluru,64,953,15,0
TXN06628,2026-01-01 18:15:00,Payment,304.6,Delhi,39,1756,76,0
TXN01195,2026-01-01 18:16:00,Payment,214.57,Pune,51,964,49,0
TXN07523,2026-01-01 18:20:00,Payment,42.04,Kolkata,57,106,98,0
TXN09312,2026-01-01 18:20:00,Payment,332.75,Hyderabad,68,1285,5,0
TXN00144,2026-01-01 18:23:00,Payment,165.79,Bengaluru,39,101,58,0
TXN08075,2026-01-01 18:24:00,Payment,82.12,Hyderabad,47,315,57,0
TXN02088,2026-01-01 18:26:00,Payment,123.48,Ahmedabad,57,1317,98,0
TXN04574,2026-01-01 18:30:00,Payment,162.75,Chennai,53,704,7,0
TXN00103,2026-01-01 18:30:00,Payment,35.73,Delhi,19,377,58,0
TXN06219,2026-01-01 18:31:00,Payment,288.69,Bengaluru,35,1526,39,0
TXN02153,2026-01-01 18:31:00,Withdrawal,172.0,Pune,69,357,22,0
TXN06148,2026-01-01 18:37:00,Payment,55.74,Kolkata,18,1278,15,1
TXN07946,2026-01-01 18:40:00,Transfer,691.26,Kolkata,52,309,10,0
TXN04906,2026-01-01 18:44:00,Transfer,195.35,Kolkata,43,1506,45,0
TXN03564,2026-01-01 18:46:00,Payment,194.09,Hyderabad,32,292,27,0
TXN03875,2026-01-01 18:49:00,Payment,226.72,Ahmedabad,28,334,43,0
TXN01552,2026-01-01 18:50:00,Payment,53.32,Bengaluru,47,1112,29,0
TXN07095,2026-01-01 18:51:00,Withdrawal,7454.4,Mumbai,50,999,53,0
TXN01587,2026-01-01 18:53:00,Payment,157.55,Kolkata,47,1810,57,0
TXN06408,2026-01-01 18:53:00,Payment,918.34,Chennai,55,727,52,0
TXN05273,2026-01-01 18:55:00,Transfer,31.22,Pune,52,271,43,0
TXN02869,2026-01-01 19:02:00,Payment,314.72,Hyderabad,65,1612,30,0
TXN07622,2026-01-01 19:04:00,Payment,319.34,Pune,32,904,60,0
TXN04100,2026-01-01 19:08:00,Payment,160.85,Bengaluru,61,1069,13,0
TXN06974,2026-01-01 19:12:00,Transfer,1501.55,Mumbai,56,1570,13,0
TXN01842,2026-01-01 19:13:00,Payment,85.32,Hyderabad,37,1195,134,0
TXN07343,2026-01-01 19:13:00,Payment,128.17,Ahmedabad,37,932,66,0
TXN00906,2026-01-01 19:13:00,Payment,67.53,Ahmedabad,28,1038,74,0
TXN04345,2026-01-01 19:16:00,Payment,33.59,Delhi,28,586,12,0
TXN05613,2026-01-01 19:17:00,Payment,474.69,Jaipur,23,528,14,0
TXN02796,2026-01-01 19:18:00,Transfer,45.83,Mumbai,53,829,72,0
TXN02237,2026-01-01 19:18:00,Payment,745.67,Ahmedabad,19,451,73,0
TXN08057,2026-01-01 19:19:00,Payment,214.88,Jaipur,19,204,42,0
TXN09622,2026-01-01 19:20:00,Transfer,618.69,Jaipur,69,2195,24,0
TXN02105,2026-01-01 19:22:00,Payment,53.8,Hyderabad,30,1302,61,0
TXN00852,2026-01-01 19:23:00,Payment,224.57,Pune,30,1185,39,0
TXN03642,2026-01-01 19:25:00,Payment,81.01,Kolkata,53,836,14,1
TXN07989,2026-01-01 19:26:00,Transfer,284.29,Delhi,49,277,31,0
TXN03208,2026-01-01 19:29:00,Payment,49.32,Jaipur,67,1432,69,0
TXN03507,2026-01-01 19:29:00,Transfer,532.04,Delhi,26,693,70,0
TXN05426,2026-01-01 19:31:00,Withdrawal,636.01,Chennai,67,293,31,0
TXN09693,2026-01-01 19:31:00,Transfer,563.72,Mumbai,25,748,43,1
TXN04145,2026-01-01 19:35:00,Transfer,278.7,Jaipur,24,1706,62,0
TXN01294,2026-01-01 19:39:00,Payment,370.59,Delhi,66,1223,25,0
TXN07293,2026-01-01 19:42:00,Transfer,231.59,Delhi,65,528,18,0
TXN06718,2026-01-01 19:42:00,Withdrawal,274.78,Bengaluru,21,884,19,0
TXN07661,2026-01-01 19:44:00,Withdrawal,311.99,Hyderabad,32,1434,29,0
TXN05678,2026-01-01 19:45:00,Withdrawal,210.4,Bengaluru,37,905,21,0
TXN03545,2026-01-01 19:47:00,Payment,108.56,Bengaluru,57,1087,65,0
TXN01023,2026-01-01 19:48:00,Payment,147.89,Pune,34,2248,56,0
TXN04289,2026-01-01 19:49:00,Payment,325.5,Pune,36,212,16,0
TXN04427,2026-01-01 19:53:00,Transfer,248.83,Chennai,55,402,23,0
TXN09702,2026-01-01 19:58:00,Payment,1957.42,Delhi,69,523,7,0
TXN09831,2026-01-01 19:58:00,Payment,263.22,Hyderabad,58,1299,44,0
TXN09502,2026-01-01 20:00:00,Payment,281.33,Delhi,59,822,46,0
TXN04208,2026-01-01 20:03:00,Payment,489.34,Bengaluru,64,606,22,0
TXN03222,2026-01-01 20:03:00,Payment,359.97,Hyderabad,67,868,138,0
TXN08131,2026-01-01 20:06:00,Transfer,523.54,Bengaluru,51,642,39,0
TXN07284,2026-01-01 20:07:00,Withdrawal,226.12,Chennai,23,437,58,0
TXN06880,2026-01-01 20:13:00,Payment,660.59,Delhi,67,3297,20,0
TXN04266,2026-01-01 20:13:00,Withdrawal,76.33,Ahmedabad,51,137,56,0
TXN02057,2026-01-01 20:22:00,Payment,194.05,Bengaluru,51,977,34,0
TXN01610,2026-01-01 20:26:00,Payment,129.72,Bengaluru,27,1666,62,0
TXN00019,2026-01-01 20:35:00,Payment,47.62,Delhi,23,818,21,0
TXN01711,2026-01-01 20:39:00,Transfer,148.18,Bengaluru,56,292,43,1
TXN06496,2026-01-01 20:39:00,Payment,1243.68,Delhi,50,1778,16,0
TXN09422,2026-01-01 20:53:00,Transfer,667.89,Kolkata,69,890,111,0
TXN02254,2026-01-01 20:57:00,Payment,1612.1,Jaipur,43,723,74,0
TXN01696,2026-01-01 20:58:00,Payment,104.93,Pune,38,1213,65,0
TXN07352,2026-01-01 20:59:00,Payment,336.84,Bengaluru,18,710,40,0
TXN05568,2026-01-01 21:01:00,Transfer,225.04,Bengaluru,64,1077,12,0
TXN06895,2026-01-01 21:03:00,Transfer,9.15,Mumbai,57,1063,18,0
TXN07813,2026-01-01 21:03:00,Payment,797.63,Delhi,51,882,175,0
TXN06222,2026-01-01 21:05:00,Payment,178.43,Chennai,60,1534,52,0
TXN08826,2026-01-01 21:09:00,Payment,36.42,Kolkata,69,754,55,0
TXN01670,2026-01-01 21:10:00,Payment,78.07,Kolkata,20,531,89,0
TXN01219,2026-01-01 21:10:00,Transfer,164.9,Chennai,29,751,38,0
TXN01214,2026-01-01 21:12:00,Withdrawal,143.04,Delhi,65,1289,12,0
TXN08428,2026-01-01 21:14:00,Transfer,66.26,Chennai,38,336,46,0
TXN01305,2026-01-01 21:25:00,Transfer,148.15,Jaipur,43,1079,18,0
TXN07793,2026-01-01 21:26:00,Transfer,24.81,Delhi,30,899,22,0
TXN07113,2026-01-01 21:27:00,Payment,578.92,Hyderabad,18,735,125,0
TXN08686,2026-01-01 21:28:00,Withdrawal,301.16,Pune,48,290,29,0
TXN06975,2026-01-01 21:30:00,Withdrawal,155.13,Mumbai,35,1195,79,0
TXN06662,2026-01-01 21:32:00,Transfer,175.12,Mumbai,59,840,75,0
TXN03008,2026-01-01 21:33:00,Payment,306.97,Kolkata,60,1131,38,0
TXN04023,2026-01-01 21:33:00,Payment,58.05,Bengaluru,25,143,54,1
TXN00709,2026-01-01 21:34:00,Payment,358.45,Delhi,43,1520,20,0
TXN01847,2026-01-01 21:39:00,Payment,296.09,Bengaluru,68,1463,35,0
TXN08397,2026-01-01 21:44:00,Payment,456.86,Delhi,41,561,20,1
TXN05641,2026-01-01 21:57:00,Payment,190.36,Bengaluru,61,811,10,0
TXN08314,2026-01-01 22:00:00,Payment,107.34,Chennai,50,2076,47,0
TXN01986,2026-01-01 22:05:00,Payment,83.46,Mumbai,59,637,92,0
TXN04166,2026-01-01 22:09:00,Payment,57.73,Ahmedabad,25,1334,20,0
TXN08561,2026-01-01 22:12:00,Payment,174.82,Jaipur,42,1081,56,0
TXN03444,2026-01-01 22:15:00,Payment,1281.15,Chennai,56,344,31,0
TXN03744,2026-01-01 22:17:00,Payment,281.89,Mumbai,57,1957,49,0
TXN09027,2026-01-01 22:20:00,Payment,175.62,Kolkata,29,754,106,0
TXN02096,2026-01-01 22:20:00,Payment,1075.19,Jaipur,22,1039,17,0
TXN03795,2026-01-01 22:22:00,Payment,87.93,Chennai,35,605,33,0
TXN02585,2026-01-01 22:23:00,Withdrawal,174.58,Hyderabad,55,784,33,0
TXN04566,2026-01-01 22:24:00,Payment,714.98,Chennai,61,703,24,0
TXN05622,2026-01-01 22:25:00,Payment,1171.87,Chennai,20,237,156,0
